playlist_index,video_id,title,duration_string,url,has_transcript,subtitle_language,topic_tags
112,CZVEcLnUACI,The Key to Bitcoin’s Surge｜James Seyffart ｜Bonnie Blockchain,43:30,https://www.youtube.com/watch?v=CZVEcLnUACI,yes,en,bitcoin|institutional|macro|trading
113,NXMxWERiVak,怎麼投資比特幣？什麼是加密貨幣？全網最完整の新手教戰守則！【邦妮區塊鏈】,1:00:33,https://www.youtube.com/watch?v=NXMxWERiVak,yes,zh,bitcoin|institutional|security|macro|trading
114,6KGKt5qRzIY,A Global Currency Crisis? Jack Mallers on Bitcoin’s 500x Potential ｜ Jack Mallers｜Bonnie Blockchain,53:04,https://www.youtube.com/watch?v=6KGKt5qRzIY,yes,en,bitcoin|institutional|macro|trading
115,p0Bui-ji4ec,How Institutions Time Big Trades｜ Eric Peters｜Bonnie Blockchain,28:48,https://www.youtube.com/watch?v=p0Bui-ji4ec,yes,en,institutional|macro|trading
116,8r6cm-Xhehc,Bitcoin Is The Only Game In The Casino We Can All Win. ｜Michael Saylor｜｜Bonnie Blockchain,50:09,https://www.youtube.com/watch?v=8r6cm-Xhehc,yes,en,bitcoin|institutional|macro|trading
117,VATB6d_6JiI,【孫子兵法】提升人生勝率六絕招！升遷、人際槓桿、商業貿易戰都超好用！【邦妮區塊鏈】,14:00,https://www.youtube.com/watch?v=VATB6d_6JiI,yes,zh,security|trading
118,XcCiOL-RpCY,跟川普學的10大談判技巧！實際驗證！The Art Of The Deal 交易的藝術！【邦妮區塊鏈】,40:46,https://www.youtube.com/watch?v=XcCiOL-RpCY,yes,zh,security|macro|trading
119,QMOgKhhBxnI,The Most Accurate Institution for Bitcoin Prediction｜Matthew Sigel｜Bonnie Blockchain,26:53,https://www.youtube.com/watch?v=QMOgKhhBxnI,yes,en,bitcoin|institutional|macro|trading
120,x2-VeDs6q0E,專家：經濟衰退機率仍高！關稅完整時間軸！各國狂倒貨美債！川普關稅轉向！【邦妮區塊鏈】,26:22,https://www.youtube.com/watch?v=x2-VeDs6q0E,yes,zh,institutional|security|macro|trading
121,95h7AIQApzo,頂尖經濟學家曝：最有可能3狀況！直言市場還不夠悲觀！【邦妮區塊鏈】,18:29,https://www.youtube.com/watch?v=95h7AIQApzo,yes,zh,macro|trading
122,1x33dMulZhA,股市開盤即收盤！全球股市熔斷！關稅談判大膽的推測！【邦妮區塊鏈】,17:49,https://www.youtube.com/watch?v=1x33dMulZhA,yes,zh,bitcoin|institutional|security|macro|trading
